X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
php bn:01753580n ; 0 ; 0 ; 0 ; 0.0714286 ; 0 ; 0.0714286 ; 0
mysql bn:01225760n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fichier bn:00021475n ; 0 ; 0.107143 ; 0.107143 ; 0.142857 ; 0 ; 0 ; 0
données bn:00025314n ; 0.107143 ; 0.107143 ; 0 ; 0 ; 0 ; 0 ; 0.142857
types bn:00016413n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
session bn:03751534n ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnees bn:00025333n ; 0.107143 ; 0.107143 ; 0 ; 0 ; 0 ; 0 ; 0.142857
entités bn:00031027n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0
client web bn:00013447n ; 0.25 ; 0.25 ; 0.25 ; 0.285714 ; 0 ; 0 ; 0.357143
langage de script bn:01431715n ; 0.0714286 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143
sélectionner bn:00084931v ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
post bn:01500184n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0
méthode get bn:00045088n ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0.0714286 ; 0
code bn:00020354n ; 0 ; 0 ; 0.142857 ; 0.107143 ; 0.107143 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0
afficher bn:00087013v ; 0 ; 0.142857 ; 0 ; 0.142857 ; 0 ; 0 ; 0.142857
nécessaire bn:00107182a ; 0.0714286 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0.0714286
fois bn:00032768n ; 0 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0.0714286
programmation bn:00021493n ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0
class bn:03598962n ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0
commentaires bn:00020978n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
composer bn:14766022n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0.0714286 ; 0 ; 0.0714286 ; 0 ; 0
syntaxe bn:00062118n ; 0 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0.0714286
personne bn:00046516n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143
définition bn:00025928n ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.142857 ; 0 ; 0.142857 ; 0 ; 0 ; 0 ; 0.142857
mode bn:00033729n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
configuration bn:03088982n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
xml bn:02771436n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
postgresql bn:01709156n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143
web bn:00080772n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
méthode bn:01641329n ; 0 ; 0.0714286 ; 0 ; 0 ; 0.0714286 ; 0 ; 0
bits bn:00010731n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
foreach bn:03463379n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0
pouvoir bn:00084450v ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
information bn:00046705n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0
easyphp bn:14837849n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0.107143 ; 0 ; 0 ; 0.107143 ; 0 ; 0 ; 0.142857
impossible bn:00104687a ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
en-tête bn:00043309n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0
client bn:00019764n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0714286 ; 0.0714286
file bn:00065682n ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0
echo bn:03626250n ; 0 ; 0 ; 0.0714286 ; 0 ; 0.0714286 ; 0 ; 0
rue bn:00074595n ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
exception bn:00032118n ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0
informatique bn:00100175a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143
