X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
C1 ; 1 ; 0.234043 ; 0.246711 ; 0.190299 ; 0.238434 ; 0.263699 ; 0.139535 ; 0.181467 ; 0.232026 ; 0.322581
C2 ; 0.234043 ; 1 ; 0.343137 ; 0.244681 ; 0.225806 ; 0.319079 ; 0.263566 ; 0.238095 ; 0.298413 ; 0.257053
C3 ; 0.246711 ; 0.343137 ; 1 ; 0.273333 ; 0.308917 ; 0.329231 ; 0.261484 ; 0.238255 ; 0.313433 ; 0.337461
C4 ; 0.190299 ; 0.244681 ; 0.273333 ; 1 ; 0.258065 ; 0.223684 ; 0.155642 ; 0.19305 ; 0.258278 ; 0.278351
C5 ; 0.238434 ; 0.225806 ; 0.308917 ; 0.258065 ; 1 ; 0.442446 ; 0.198529 ; 0.16955 ; 0.345395 ; 0.310458
C6 ; 0.263699 ; 0.319079 ; 0.329231 ; 0.223684 ; 0.442446 ; 1 ; 0.221831 ; 0.188742 ; 0.356467 ; 0.286585
C7 ; 0.139535 ; 0.263566 ; 0.261484 ; 0.155642 ; 0.198529 ; 0.221831 ; 1 ; 0.140562 ; 0.219931 ; 0.176271
C8 ; 0.181467 ; 0.238095 ; 0.238255 ; 0.19305 ; 0.16955 ; 0.188742 ; 0.140562 ; 1 ; 0.29682 ; 0.250871
C9 ; 0.232026 ; 0.298413 ; 0.313433 ; 0.258278 ; 0.345395 ; 0.356467 ; 0.219931 ; 0.29682 ; 1 ; 0.310976
C10 ; 0.322581 ; 0.257053 ; 0.337461 ; 0.278351 ; 0.310458 ; 0.286585 ; 0.176271 ; 0.250871 ; 0.310976 ; 1
