X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
A1 ; 1 ; 0.505095 ; 0.278125 ; 0.352273 ; 0.54558 ; 0.307467 ; 0.246313 ; 0.315447 ; 0.219002 ; 0.184713 ; 0.195652 ; 0.409537 ; 0.315249
A2 ; 0.505095 ; 1 ; 0.22913 ; 0.294671 ; 0.43913 ; 0.276206 ; 0.252613 ; 0.274254 ; 0.206501 ; 0.181644 ; 0.166667 ; 0.339939 ; 0.268092
A3 ; 0.278125 ; 0.22913 ; 1 ; 0.198428 ; 0.247191 ; 0.162447 ; 0.112832 ; 0.150246 ; 0.066838 ; 0.119777 ; 0.0974359 ; 0.232342 ; 0.175847
A4 ; 0.352273 ; 0.294671 ; 0.198428 ; 1 ; 0.335777 ; 0.227599 ; 0.253937 ; 0.178431 ; 0.118126 ; 0.102881 ; 0.135354 ; 0.362393 ; 0.239209
A5 ; 0.54558 ; 0.43913 ; 0.247191 ; 0.335777 ; 1 ; 0.294833 ; 0.22561 ; 0.306122 ; 0.219761 ; 0.163907 ; 0.244027 ; 0.391053 ; 0.33126
C1 ; 0.307467 ; 0.276206 ; 0.162447 ; 0.227599 ; 0.294833 ; 1 ; 0.17004 ; 0.178261 ; 0.118721 ; 0.0940367 ; 0.120267 ; 0.25724 ; 0.26
C2 ; 0.246313 ; 0.252613 ; 0.112832 ; 0.253937 ; 0.22561 ; 0.17004 ; 1 ; 0.115124 ; 0.148052 ; 0.0463415 ; 0.14899 ; 0.210526 ; 0.207469
C3 ; 0.315447 ; 0.274254 ; 0.150246 ; 0.178431 ; 0.306122 ; 0.178261 ; 0.115124 ; 1 ; 0.153409 ; 0.231975 ; 0.074359 ; 0.180505 ; 0.130435
C4 ; 0.219002 ; 0.206501 ; 0.066838 ; 0.118126 ; 0.219761 ; 0.118721 ; 0.148052 ; 0.153409 ; 1 ; 0.0689655 ; 0.191558 ; 0.137996 ; 0.146172
C5 ; 0.184713 ; 0.181644 ; 0.119777 ; 0.102881 ; 0.163907 ; 0.0940367 ; 0.0463415 ; 0.231975 ; 0.0689655 ; 1 ; 0.0442478 ; 0.154902 ; 0.100686
C6 ; 0.195652 ; 0.166667 ; 0.0974359 ; 0.135354 ; 0.244027 ; 0.120267 ; 0.14899 ; 0.074359 ; 0.191558 ; 0.0442478 ; 1 ; 0.213018 ; 0.160183
C7 ; 0.409537 ; 0.339939 ; 0.232342 ; 0.362393 ; 0.391053 ; 0.25724 ; 0.210526 ; 0.180505 ; 0.137996 ; 0.154902 ; 0.213018 ; 1 ; 0.266212
C8 ; 0.315249 ; 0.268092 ; 0.175847 ; 0.239209 ; 0.33126 ; 0.26 ; 0.207469 ; 0.130435 ; 0.146172 ; 0.100686 ; 0.160183 ; 0.266212 ; 1
