X;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web;0.142857;0;0;0;0;0
navigateur;0.142857;0;0;0;0;0
serveur web;0.142857;0;0;0;0;0
fichier;0;0.25;0.333333;0;0;0
client;0;0.2;0;0.428571;0.333333;0
base de donnée;0.3;0;0;0;0.3;0.4
donnée;0;0;0;0;0.25;0.222222
php;0;0;0;0;0.142857;0
code;0;0;0;0;0.142857;0
texte;0.142857;0;0;0;0;0
concerner;0.142857;0;0;0;0;0
commentaire;0;0.142857;0;0;0;0
délimiter;0.25;0.25;0;0;0;0
fois;0;0;0;0;0.142857;0
url;0;0;0;0.2;0;0
case à cocher;0;0.142857;0;0;0;0
post;0;0;0;0;0.142857;0
nombre;0.444444;0.3;0;0;0;0.272727
text;0;0;0;0;0.25;0.222222
langage;0;0;0;0.2;0;0
utilisateur;0.142857;0;0;0;0;0
case;0;0;0;0.2;0;0
associer;0.142857;0;0;0;0;0
personne;0.142857;0;0;0;0;0
méthode post;0;0;0.2;0;0;0
fermeture;0;0;0;0.2;0;0
mysql;0.142857;0;0;0;0;0
salaire;0.142857;0;0;0;0;0
jour;0;0;0;0;0.142857;0
site;0;0;0;0.333333;0.25;0
france;0;0;0;0.2;0;0
langage de script;0;0;0.333333;0;0;0.222222
interpréter;0;0.142857;0;0;0;0
côté serveur;0;0.142857;0;0;0;0
serveur;0;0.142857;0;0;0;0
typage;0;0;0;0;0;0.125
foreach;0;0;0;0;0.142857;0
list;0;0;0.2;0;0;0
cle;0;0;0;0;0.142857;0
mot;0;0;0;0;0;0.125
timestamp;0;0;0;0.2;0;0
session;0;0;0;0.2;0;0
afficher;0;0;0;0;0;0.125
chaîne;0;0;0;0.2;0;0
header;0;0;0;0.2;0;0
accéder;0;0;0;0.2;0;0
paris;0;0;0;0;0.142857;0
classe;0;0;0;0;0.142857;0
class;0;0;0;0;0.142857;0
mysqli;0;0;0;0;0.142857;0
visiteur;0;0;0;0;0;0.125
